id	filename	md5	size	state
0140d8c3-b440-49c4-833f-dd63e32858b3	0140d8c3-b440-49c4-833f-dd63e32858b3/5d6d057e-dd3f-4a85-8bf1-74d5069c7d9d.FPKM-UQ.txt.gz	5d72390fe9cc385b349af6aee64f13a1	538653	validated
014c7dc5-5b88-413d-a8b1-d059e1a17ad3	014c7dc5-5b88-413d-a8b1-d059e1a17ad3/d81394e3-a55e-4b85-b13d-e3fa1806c800.FPKM-UQ.txt.gz	7189ca438128e634ea163d9182ee36ed	558532	validated
01cb9942-ff60-4eb9-834d-020f18f07040	01cb9942-ff60-4eb9-834d-020f18f07040/20c6123b-33b6-46a7-8625-482e4594c032.FPKM-UQ.txt.gz	86672cd0a2ec2a4b760aebdba6dfb15c	530270	validated
0242c20c-527c-4962-862b-1e3026b47908	0242c20c-527c-4962-862b-1e3026b47908/47caf079-95ad-4c12-b8cf-fb333f72900d.FPKM-UQ.txt.gz	ce03822fd2d9ebc0da27dd0f4960cacb	489890	validated
029cb422-4fc0-462c-bf17-e5f5ed7d0d4c	029cb422-4fc0-462c-bf17-e5f5ed7d0d4c/05582ed0-da34-418a-b96e-fb4505e9ee03.FPKM-UQ.txt.gz	b97bd4350ae7b40779756dcb1d221127	509653	validated
02e412cc-0c36-45bc-aff6-aef046ef3bbe	02e412cc-0c36-45bc-aff6-aef046ef3bbe/bc81c085-a31e-4b2d-9697-3680d9b0f132.FPKM-UQ.txt.gz	7cea708e6c91cb0a5ffa1d7bec18399b	502833	validated
02f6fbf8-82b3-40f9-854a-71da4d5009b3	02f6fbf8-82b3-40f9-854a-71da4d5009b3/1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM-UQ.txt.gz	3b8d8a7bb60821ab55472d6d7aae432e	526756	validated
036fbeb6-114a-4c5f-bc9b-d5317d4aef0f	036fbeb6-114a-4c5f-bc9b-d5317d4aef0f/ae3d90f2-e69b-4711-8e09-368c732cdc23.FPKM-UQ.txt.gz	2c9b9fe7fa644cf5d0019b09fb6940a7	491052	validated
03ed5d81-eb7b-434f-8faa-7a99143664ed	03ed5d81-eb7b-434f-8faa-7a99143664ed/a12ff0ad-8580-4cec-9e63-1175335f0316.FPKM-UQ.txt.gz	cd4735b876f195c00f382e1f935d38f1	536881	validated
04bb5e20-4329-4c9a-8d80-072bf38f515e	04bb5e20-4329-4c9a-8d80-072bf38f515e/6d53bf05-58d4-4633-b2da-0dd71d89ee91.FPKM-UQ.txt.gz	ef5b9630b9eef7841394157d6990d376	502177	validated
057704ab-3a90-4901-86c2-e22c246fcbbd	057704ab-3a90-4901-86c2-e22c246fcbbd/4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM-UQ.txt.gz	15c8aae62c100932ecfc4a428a06da2c	519683	validated
059db82e-0297-4fad-b6a4-48ca1f704d78	059db82e-0297-4fad-b6a4-48ca1f704d78/f98edf9e-796d-4eb5-b86a-8d41748279b8.FPKM-UQ.txt.gz	e4c66e43ef033264160d44d46d0fad15	495710	validated
0637f1ad-0c00-40c5-b5d1-df15c123c2a3	0637f1ad-0c00-40c5-b5d1-df15c123c2a3/bf09f1fe-5f5d-4262-9159-5ec62f86294e.FPKM-UQ.txt.gz	437d88dc9cb4b9efc0d3dde9258d7c95	507020	validated
063b8da0-cad0-45ee-93ae-d8c6f045e1cc	063b8da0-cad0-45ee-93ae-d8c6f045e1cc/d0918436-f01a-49c3-afba-5c29f4076f6c.FPKM-UQ.txt.gz	4c62a9ca4e916d27ae226cfb080ffbf2	531195	validated
06550811-fa91-44c6-ad97-7d7180de2b9c	06550811-fa91-44c6-ad97-7d7180de2b9c/0bf42173-8de0-457d-ad94-81584556c3e6.FPKM-UQ.txt.gz	4b17c8a7f6c8bd48848c96064db3aba6	523482	validated
07b95c63-ff30-4c96-8948-5c66bb30f87e	07b95c63-ff30-4c96-8948-5c66bb30f87e/4ea3866e-01a6-490c-84a5-546c142ebcb5.FPKM-UQ.txt.gz	f5529f4191365e57f916e37d75052ee9	520697	validated
086d0c12-6be1-4c82-aac9-c1754d954645	086d0c12-6be1-4c82-aac9-c1754d954645/12e07df9-d348-41de-9b87-9da18df6934b.FPKM-UQ.txt.gz	94534d9f02248c4455523871ecada1fd	513224	validated
08dae29d-596e-4c5b-98c6-79eb3af0ab8d	08dae29d-596e-4c5b-98c6-79eb3af0ab8d/9e49e3ff-f780-48db-9349-e59e2112b6de.FPKM-UQ.txt.gz	8948556d9e5bcb21b71331eca261b26f	531830	validated
08e0c534-a931-475a-ac0c-39644d0b83d3	08e0c534-a931-475a-ac0c-39644d0b83d3/f1af55bb-21e4-473b-ad35-906fdc6a7cf5.FPKM-UQ.txt.gz	64306d6d32b44802ee9a89a0b3e3cf06	515095	validated
0906c604-225b-4354-9e55-c7eeeac1ce83	0906c604-225b-4354-9e55-c7eeeac1ce83/022cbd07-3e20-4144-b2ab-8c76adffae73.FPKM-UQ.txt.gz	61e529d8b93f7506dc646e3ccd63b54d	508533	validated
09529169-0120-4d46-a78b-e090ba5115fd	09529169-0120-4d46-a78b-e090ba5115fd/be066ad3-e17c-4adc-9f4b-4d5c33d4dfad.FPKM-UQ.txt.gz	34cd9007afbd51e8140a388a0df49ad0	533675	validated
